ST_NO,ST_NAME,ST_NAME_EN,LINE_NO,X,Y,TRANSFER_TAG,SERIAL_NO,ST_HORIZONTAL
0111,莘庄,Xinzhuang                       ,1,201,771,换乘站,28,地面
0112,外环路,Waihuanlu                       ,1,224,738,普通站,27,地面
0113,莲花路,Lianhua Road                    ,1,243,721,普通站,26,地面
0114,锦江乐园,Jinjiang Park                   ,1,270,753,普通站,25,地面
0115,上海南站,Shanghai South Railway Station  ,1,295,730,换乘站,24,地下
0116,漕宝路,Caobao Road                     ,1,290,694,普通站,23,地下
0117,上海体育馆,Shanghai Indoor Stadium         ,1,362,675,换乘站,22,地下
0118,徐家汇,Xujiahui                        ,1,394,654,换乘站,21,地下
0119,衡山路,Hengshan Road                   ,1,419,630,普通站,20,地下
0120,常熟路,Changshu Road                   ,1,450,609,换乘站,19,地下
0121,陕西南路,South Shanxi Road               ,1,458,559,换乘站,18,地下
0122,黄陂南路,South Huangpi Road              ,1,541,569,普通站,17,地下
0123,人民广场,People Square                   ,1,544,546,换乘站,16,地下
0124,新闸路,Xinzha Road                     ,1,483,521,普通站,15,地下
0125,汉中路,Hanzhong Road                   ,1,483,479,普通站,14,地下
0126,上海火车站,Shanghai Railway Station        ,1,527,455,换乘站,13,地下
0127,中山北路,North Zhongshan Road            ,1,489,420,普通站,12,地下
0128,延长路,Yanchang Road                   ,1,522,397,普通站,11,地下
0129,上海马戏城,Shanghai Circus World           ,1,500,372,普通站,10,地下
0130,汶水路,Wenshui Road                    ,1,520,341,普通站,9,高架
0131,彭浦新村,Pengpu Xincun                   ,1,509,316,普通站,8,高架
0132,共康路,Gongkang Road                   ,1,519,287,普通站,7,高架
0133,通河新村,Tonghe Xincun                   ,1,509,257,普通站,6,高架
0134,呼兰路,Hulan Road                      ,1,517,226,普通站,5,高架
0135,共富新村,Gongfu Xincun                   ,1,506,195,普通站,4,高架
0136,宝安公路,BaoAn Highway                   ,1,507,166,普通站,3,高架
0137,友谊西路,West Youyi Road                 ,1,507,137,普通站,2,高架
0138,富锦路,Fujin Road                      ,1,518,102,普通站,1,高架
0234,徐泾东,East Xujin                      ,2,135,476,普通站,1,地下
0235,虹桥火车站,Hongqiao Railway Station        ,2,172,456,换乘站,2,地下
0236,虹桥2号航站楼,Hongqiao Airport Terminal 2     ,2,191,440,换乘站,3,地下
0237,淞虹路,Songhong Road                   ,2,214,476,普通站,4,地下
0238,北新泾,Beixinjing                      ,2,248,477,普通站,5,地下
0239,威宁路,Weining Road                    ,2,273,477,普通站,6,地下
0240,娄山关路,Loushanguan Road                ,2,297,466,普通站,7,地下
0241,中山公园,Zhongshan Park                  ,2,349,527,换乘站,8,地下
0242,江苏路,Jiangsu Road                    ,2,396,507,换乘站,9,地下
0243,静安寺,JingAn Temple                   ,2,405,555,换乘站,10,地下
0244,南京西路,West Nanjing Road               ,2,482,537,普通站,11,地下
0245,人民广场,People Square                   ,2,544,547,换乘站,12,地下
0246,南京东路,East Nanjing Road               ,2,616,564,换乘站,13,地下
0247,陆家嘴,Lujiazui                        ,2,662,541,普通站,14,地下
0248,东昌路,Dongchang Road                  ,2,634,576,普通站,15,地下
0249,世纪大道,Century Avenue                  ,2,692,569,换乘站,16,地下
0250,上海科技馆,Shanghai ST Museum              ,2,725,643,普通站,17,地下
0251,世纪公园,Century Park                    ,2,739,677,普通站,18,地下
0252,龙阳路,Longyang Road                   ,2,764,744,换乘站,19,地下
0253,张江高科,Zhangjiang High Technology Park ,2,752,780,普通站,20,地下
0254,金科路,Jinke Road                      ,2,784,778,普通站,21,地下
0255,广兰路,Guanglan Road                   ,2,812,779,普通站,22,地下
0256,唐镇,Tangzhen                        ,2,838,780,普通站,23,地下
0257,创新中路,Middle Chuangxin Road           ,2,865,780,普通站,24,地下
0258,华夏东路,East Huaxia Road                ,2,886,782,普通站,25,地下
0259,川沙,Chuansha                        ,2,922,769,普通站,26,地下
0260,凌空路,Lingkong Road                   ,2,920,797,普通站,27,地下
0261,远东大道,Yuandong Avenue                 ,2,920,818,普通站,28,高架
0262,海天三路,Haitiansan Road                 ,2,917,846,普通站,29,地面
0263,浦东国际机场,Pudong International Airport    ,2,918,877,普通站,30,地面
0311,上海南站,Shanghai South Station          ,3,295,730,换乘站,29,地面
0312,石龙路,Shilong Road                    ,3,331,737,普通站,28,地面
0313,龙漕路,Longcao Road                    ,3,350,686,普通站,27,高架
0314,漕溪路,Caoxi Road                      ,3,348,675,普通站,26,高架
0315,宜山路,Yishan Road                     ,3,349,632,换乘站,25,高架
0316,虹桥路,Hongqiao Road                   ,3,322,599,换乘站,24,高架
0317,延安西路,West YanAn Road                 ,3,347,556,换乘站,23,高架
0318,中山公园,Zhongshan Park                  ,3,349,527,换乘站,22,高架
0319,金沙江路,Jinshajiang Road                ,3,343,455,换乘站,21,高架
0320,曹杨路,Caoyang Road                    ,3,397,449,换乘站,20,高架
0321,镇坪路,Zhenping Road                   ,3,418,433,换乘站,19,高架
0322,中潭路,Zhongtan Road                   ,3,460,434,换乘站,18,高架
0323,上海火车站,Shanghai Railway Station        ,3,527,455,换乘站,17,地面
0324,宝山路,Baoshan Road                    ,3,572,451,换乘站,16,高架
0325,东宝兴路,Dongbaoxing Road                ,3,606,410,普通站,15,高架
0326,虹口足球场,Hongkou Football Stadium        ,3,571,372,换乘站,14,高架
0327,赤峰路,Chifeng Road                    ,3,587,354,普通站,13,高架
0328,大柏树,Dabaishu                        ,3,588,324,普通站,12,高架
0329,江湾镇,Jiangwan Town                   ,3,588,292,普通站,11,高架
0330,殷高西路,West Yingao Road                ,3,578,262,普通站,10,高架
0331,长江南路,South Changjiang Road           ,3,579,231,普通站,9,高架
0332,淞发路,Songfa Road                     ,3,612,211,普通站,8,高架
0333,张华浜,Zhanghuabang                    ,3,634,189,普通站,7,高架
0334,淞滨路,Songbin Road                    ,3,633,162,普通站,6,高架
0335,水产路,Shuichan Road                   ,3,633,133,普通站,5,高架
0336,宝杨路,Baoyang Road                    ,3,633,105,普通站,4,高架
0337,友谊路,Youyi Road                      ,3,633,74,普通站,3,高架
0338,铁力路,Tieli Road                      ,3,633,52,普通站,2,地下
0339,江杨北路,North Jiangyang Road            ,3,622,34,普通站,1,地面
0401,上海体育馆,Shanghai Indoor Stadium         ,4,362,675,换乘站,1,地下
0402,宜山路,Yishan Road                     ,4,348,632,换乘站,2,地下
0403,虹桥路,Hongqiao Road                   ,4,323,582,换乘站,3,高架
0404,延安西路,West YanAn Road                 ,4,348,556,换乘站,4,高架
0405,中山公园,Zhongshan Park                  ,4,349,527,换乘站,5,高架
0406,金沙江路,Jinshajiang Road                ,4,343,455,换乘站,6,高架
0407,曹杨路,Caoyang Road                    ,4,397,451,换乘站,7,高架
0408,镇坪路,Zhenping Road                   ,4,418,433,换乘站,8,高架
0409,中潭路,Zhongtan Road                   ,4,470,433,换乘站,9,高架
0410,上海火车站,Shanghai Railway Station        ,4,527,455,换乘站,10,地面
0411,宝山路,Baoshan Road                    ,4,571,452,换乘站,11,高架
0412,海伦路,Hailun Road                     ,4,634,450,换乘站,12,地下
0413,临平路,Linping Road                    ,4,682,464,普通站,13,地下
0414,大连路,Dalian Road                     ,4,698,501,换乘站,14,地下
0415,杨树浦路,Yangshupu Road                  ,4,700,528,普通站,15,地下
0416,浦东大道,Pudong Avenue                   ,4,699,554,普通站,16,地下
0417,世纪大道,Century Avenue                  ,4,692,569,换乘站,17,地下
0418,浦电路,Pudian Road                     ,4,692,655,普通站,18,地下
0419,蓝村路,Lancun Road                     ,4,680,677,换乘站,19,地下
0420,塘桥,Tangqiao                        ,4,621,678,普通站,20,地下
0421,南浦大桥,Nanpu Bridge                    ,4,584,655,普通站,21,地下
0422,西藏南路,South Xizang Road               ,4,529,678,换乘站,22,地下
0423,鲁班路,Luban Road                      ,4,522,676,普通站,23,地下
0424,大木桥路,Damuqiao Road                   ,4,479,677,普通站,24,地下
0425,东安路,DongAn Road                     ,4,453,652,换乘站,25,地下
0426,上海体育场,Shanghai Stadium                ,4,414,669,普通站,26,地下
0501,莘庄,Xinzhuang                       ,5,201,771,换乘站,1,高架
0502,春申路,Chunshen Road                   ,5,218,861,普通站,2,高架
0503,银都路,Yindu Road                      ,5,219,885,普通站,3,高架
0505,颛桥,Zhuanqiao                       ,5,220,910,普通站,4,高架
0507,北桥,Beiqiao                         ,5,219,932,普通站,5,高架
0508,剑川路,Jianchuan Road                  ,5,218,956,普通站,6,高架
0509,东川路,Dongchuan Road                  ,5,217,981,普通站,7,高架
0510,金平路,Jinping Road                    ,5,179,965,普通站,8,高架
0511,华宁路,Huaning Road                    ,5,157,964,普通站,9,高架
0512,文井路,Wenjing Road                    ,5,126,963,普通站,10,高架
0513,闵行开发区,Minhang Development Zone        ,5,96,943,普通站,11,高架
0621,东方体育中心,Oriental Sports Center          ,6,358,838,换乘站,1,地下
0622,灵岩南路,South Lingyan Road              ,6,484,841,普通站,2,地下
0623,上南路,Shangnan Road                   ,6,531,840,普通站,3,地下
0624,华夏西路,West Huaxia Road                ,6,619,837,普通站,4,地下
0625,高青路,Gaoqing Road                    ,6,616,801,普通站,5,地下
0626,东明路,Dongming Road                   ,6,622,771,普通站,6,地下
0627,高科西路,West Gaoke Road                 ,6,608,747,换乘站,7,地下
0628,临沂新村,Linyi Xincun                    ,6,573,687,普通站,8,地下
0629,上海儿童医学中心,Children Medical Center         ,6,635,719,普通站,9,地下
0630,蓝村路,Lancun Road                     ,6,680,677,换乘站,10,地下
0631,浦电路,Pudian Road                     ,6,634,631,普通站,11,地下
0632,世纪大道,Century Avenue                  ,6,692,569,换乘站,12,地下
0633,源深体育中心,Yuanshen Stadium                ,6,721,598,普通站,13,地下
0634,民生路,Minsheng Road                   ,6,746,542,普通站,14,地下
0635,北洋泾路,Beiyangjing Road                ,6,773,531,普通站,15,地下
0636,德平路,Deping Road                     ,6,803,543,普通站,16,地下
0637,云山路,Yunshan Road                    ,6,830,543,普通站,17,地下
0638,金桥路,Jinqiao Road                    ,6,852,543,普通站,18,地下
0639,博兴路,Boxing Road                     ,6,892,582,普通站,19,地下
0640,五莲路,Wulian Road                     ,6,891,543,普通站,20,高架
0641,巨峰路,Jufeng Road                     ,6,889,501,换乘站,21,高架
0642,东靖路,Dongjing Road                   ,6,893,453,普通站,22,高架
0643,五洲大道,Wuzhou Avenue                   ,6,892,422,普通站,23,高架
0644,洲海路,Zhouhai Road                    ,6,892,387,普通站,24,高架
0645,外高桥保税区南站,South Waigaoqiao Free Trade Zone,6,911,353,普通站,25,高架
0646,航津路,Hangjin Road                    ,6,913,314,普通站,26,高架
0647,外高桥保税区北站,North Waigaoqiao Free Trade Zone,6,911,279,普通站,27,高架
0648,港城路,Gangcheng Road                  ,6,911,252,普通站,28,高架
0721,美兰湖,Meilan Lake                     ,7,388,74,普通站,1,高架
0722,罗南新村,Luonan Xincun                   ,7,380,99,普通站,2,高架
0723,潘广路,Panguang Road                   ,7,390,122,普通站,3,地下
0724,刘行,Liuhang                         ,7,394,146,普通站,4,地下
0725,顾村公园,Gucun Park                      ,7,377,171,普通站,5,地下
0726,祁华路,Qihua  Road                     ,7,391,195,普通站,6,地下
0727,上海大学,Shanghai  University            ,7,464,212,普通站,7,地下
0728,南陈路,Nanchen  Road                   ,7,442,250,普通站,8,地下
0729,上大路,Shangda  Road                   ,7,443,270,普通站,9,地下
0730,场中路,Changzhong  Road                ,7,443,295,普通站,10,地下
0731,大场镇,Dachang  Town                   ,7,443,319,普通站,11,地下
0732,行知路,Xingzhi  Road                   ,7,445,347,普通站,12,地下
0733,大华三路,Dahuasan  Road                  ,7,433,372,普通站,13,地下
0734,新村路,Xincun  Road                    ,7,444,396,普通站,14,地下
0735,岚皋路,Langao  Road                    ,7,429,414,普通站,15,地下
0736,镇坪路,Zhenping  Road                  ,7,418,433,普通站,16,地下
0737,长寿路,Changshou  Road                 ,7,454,479,换乘站,17,地下
0738,昌平路,Changping  Road                 ,7,452,509,普通站,18,地下
0739,静安寺,JingAn  Temple                  ,7,392,561,换乘站,19,地下
0740,常熟路,Changshu  Road                  ,7,450,609,换乘站,20,地下
0741,肇嘉浜路,Zhaojiabang  Road               ,7,456,654,换乘站,21,地下
0742,东安路,DongAn  Road                    ,7,522,623,换乘站,22,地下
0743,龙华中路,Middle Longhua Road             ,7,443,744,普通站,23,地下
0744,后滩,Houtan                          ,7,473,744,普通站,24,地下
0745,长清路,Changqing  Road                 ,7,502,744,普通站,25,地下
0746,耀华路,Yaohua  Road                    ,7,556,742,换乘站,26,地下
0747,云台路,Yuntai  Road                    ,7,577,741,普通站,27,地下
0748,高科西路,West  Gaoke  Road               ,7,608,747,换乘站,28,地下
0749,杨高南路,South  Yanggao  Road            ,7,650,747,普通站,29,地下
0750,锦绣路,Jinxiu  Road                    ,7,685,748,普通站,30,地下
0751,芳华路,Fanghua   Road                  ,7,722,748,普通站,31,地下
0752,龙阳路,Longyang   Road                 ,7,765,745,换乘站,32,地下
0753,花木路,Huamu  Road                     ,7,784,718,普通站,33,地下
0820,沈杜公路,Shendu highway                  ,8,371,990,普通站,1,高架
0821,联航路,Lianhang Road                   ,8,380,963,普通站,2,高架
